project,n,chi_square_contribution,share_of_primary_chi_square
phoenix,157,61.145177,0.141392
pdfbox,166,42.270488,0.097746
commons-math,94,37.172693,0.085958
commons-lang,66,36.067244,0.083402
tez,48,21.163565,0.048939
commons-collections,37,17.582037,0.040657
tika,52,17.299347,0.040003
nifi,66,17.286984,0.039974
helix,44,16.959389,0.039217
manifoldcf,58,12.305744,0.028456
commons-jexl,30,11.972500,0.027685
commons-digester,26,10.565292,0.024431
jena,174,9.722274,0.022482
commons-dbcp,21,8.864578,0.020498
commons-io,21,8.864578,0.020498
flume,30,8.102943,0.018737
ranger,45,8.094216,0.018717
zeppelin,37,7.798821,0.018034
knox,23,7.028625,0.016253
opennlp,36,6.938428,0.016044
kylin,136,6.741951,0.015590
calcite,40,6.540229,0.015124
systemml,78,5.401684,0.012491
falcon,31,4.668156,0.010795
storm,57,4.492507,0.010388
commons-configuration,42,4.446093,0.010281
commons-validator,32,3.704883,0.008567
commons-net,22,3.700220,0.008556
cayenne,75,3.427706,0.007926
httpcomponents-client,48,3.107286,0.007185
commons-compress,32,2.571597,0.005947
roller,49,2.570854,0.005945
commons-vfs,23,2.469103,0.005710
santuario-java,30,1.808675,0.004182
parquet-mr,25,1.581983,0.003658
mahout,42,1.579903,0.003653
httpcomponents-core,52,1.547605,0.003579
archiva,79,1.531788,0.003542
wss4j,50,1.442709,0.003336
lens,28,0.687375,0.001589
mina-sshd,26,0.462711,0.001070
struts,59,0.455014,0.001052
jspwiki,87,0.307219,0.000710
