project,category,observed,expected,pearson_residual,chi_square_contribution
phoenix,corrective,83,43.317186,6.029376,36.353370
pdfbox,other,16,54.331087,-5.200282,27.042938
phoenix,perfective,23,62.297388,-4.978847,24.788916
commons-math,perfective,66,37.299073,4.699449,22.084817
commons-lang,perfective,50,26.188711,4.652923,21.649690
tez,corrective,27,13.243471,3.780141,14.289463
pdfbox,corrective,69,45.800337,3.428052,11.751537
tika,other,31,17.019377,3.388868,11.484430
helix,other,27,14.401011,3.320009,11.022457
commons-collections,perfective,27,14.681550,3.214920,10.335707
commons-math,corrective,10,25.935131,-3.129042,9.790904
nifi,other,36,21.601516,3.097952,9.597304
commons-lang,corrective,6,18.209773,-2.861247,8.186733
nifi,perfective,12,26.188711,-2.772591,7.687263
manifoldcf,perfective,10,23.014322,-2.712829,7.359442
commons-digester,corrective,0,7.173547,-2.678348,7.173547
tez,perfective,8,19.046335,-2.531119,6.406562
commons-jexl,corrective,1,8.277169,-2.529424,6.397984
commons-lang,other,10,21.601516,-2.496161,6.230821
commons-jexl,perfective,20,11.903960,2.346535,5.506224
commons-dbcp,perfective,15,8.332772,2.309673,5.334592
commons-io,perfective,15,8.332772,2.309673,5.334592
commons-math,other,18,30.765796,-2.301515,5.296972
jena,perfective,88,69.042965,2.281449,5.205008
zeppelin,other,20,12.109941,2.267301,5.140655
helix,perfective,8,17.459141,-2.263811,5.124842
commons-collections,corrective,3,10.208509,-2.256131,5.090126
ranger,corrective,20,12.415754,2.152414,4.632887
tika,perfective,11,20.633530,-2.120795,4.497771
opennlp,perfective,22,14.284751,2.041332,4.167035
knox,perfective,3,9.126369,-2.027936,4.112522
jena,corrective,34,48.007582,-2.021661,4.087112
flume,perfective,5,11.903960,-2.001025,4.004101
flume,corrective,14,8.277169,1.989161,3.956762
calcite,perfective,8,15.871946,-1.975909,3.904218
kylin,perfective,40,53.964617,-1.900967,3.613674
pdfbox,perfective,81,65.868576,1.864407,3.476012
ranger,perfective,10,17.855939,-1.859117,3.456317
manifoldcf,other,27,18.983151,1.840007,3.385627
systemml,perfective,21,30.950295,-1.788560,3.198947
commons-digester,perfective,16,10.316765,1.769391,3.130745
kylin,other,56,44.512216,1.721855,2.964786
storm,corrective,9,15.726622,-1.696209,2.877124
commons-configuration,perfective,23,16.665543,1.551671,2.407683
falcon,corrective,13,8.553075,1.520543,2.312051
falcon,perfective,7,12.300758,-1.511374,2.284252
commons-validator,perfective,18,12.697557,1.488045,2.214277
commons-dbcp,other,3,6.873210,-1.477377,2.182642
commons-io,other,3,6.873210,-1.477377,2.182642
cayenne,corrective,14,20.692923,-1.471313,2.164760
commons-collections,other,7,12.109941,-1.468402,2.156204
knox,corrective,10,6.345830,1.450590,2.104210
commons-net,perfective,13,8.729570,1.445357,2.089057
httpcomponents-client,other,10,15.710194,-1.440655,2.075488
calcite,other,18,13.091828,1.356499,1.840091
commons-configuration,corrective,7,11.588037,-1.347789,1.816536
zeppelin,corrective,6,10.208509,-1.317186,1.734979
commons-vfs,other,4,7.527801,-1.285790,1.653256
systemml,other,32,25.529065,1.280706,1.640209
manifoldcf,corrective,21,16.002527,1.249269,1.560674
opennlp,corrective,6,9.932603,-1.247810,1.557031
roller,other,21,16.037489,1.239177,1.535559
storm,other,24,18.655855,1.237288,1.530880
commons-compress,perfective,17,12.697557,1.207411,1.457841
commons-net,other,4,7.200505,-1.192716,1.422572
commons-dbcp,corrective,3,5.794019,-1.160752,1.347345
commons-io,corrective,3,5.794019,-1.160752,1.347345
tika,corrective,10,14.347094,-1.147670,1.317146
santuario-java,corrective,5,8.277169,-1.139090,1.297526
opennlp,other,8,11.782645,-1.101981,1.214363
cayenne,other,30,24.547178,1.100577,1.211270
archiva,corrective,17,21.796546,-1.027389,1.055527
wss4j,corrective,10,13.795282,-1.021830,1.044137
roller,perfective,15,19.443134,-1.007642,1.015342
mahout,corrective,15,11.588037,1.002304,1.004613
httpcomponents-core,perfective,25,20.633530,0.961266,0.924033
zeppelin,perfective,11,14.681550,-0.960826,0.923187
commons-compress,corrective,6,8.828981,-0.952083,0.906462
commons-validator,corrective,6,8.828981,-0.952083,0.906462
parquet-mr,perfective,7,9.919966,-0.927092,0.859499
helix,corrective,9,12.139848,-0.901160,0.812090
knox,other,10,7.527801,0.901051,0.811893
calcite,corrective,14,11.036226,0.892144,0.795920
parquet-mr,corrective,9,6.897641,0.800491,0.640786
commons-validator,other,8,10.473463,-0.764294,0.584145
httpcomponents-client,corrective,16,13.243471,0.757463,0.573751
systemml,corrective,25,21.520640,0.750018,0.562527
mahout,other,11,13.746420,-0.740751,0.548712
tez,other,13,15.710194,-0.683769,0.467540
