project,n,perfective_count,corrective_count,other_count,perfective_share,perfective_ci_low,perfective_ci_high,corrective_share,corrective_ci_low,corrective_ci_high,other_share,other_ci_low,other_ci_high
archiva,79,35,17,27,0.443038,0.338678,0.552681,0.21519,0.138922,0.317872,0.341772,0.24671,0.451509
calcite,40,8,14,18,0.2,0.105,0.347573,0.35,0.221345,0.504941,0.45,0.307053,0.601709
cayenne,75,31,14,30,0.413333,0.308777,0.526335,0.186667,0.114581,0.289286,0.4,0.296625,0.51312
commons-bcel,18,9,6,3,0.5,0.29031,0.70969,0.333333,0.162788,0.562505,0.166667,0.058366,0.39222
commons-beanutils,12,5,2,5,0.416667,0.19326,0.680489,0.166667,0.046965,0.448031,0.416667,0.19326,0.680489
commons-codec,17,12,1,4,0.705882,0.468669,0.8672,0.058824,0.01046,0.26982,0.235294,0.09555,0.472618
commons-collections,37,27,3,7,0.72973,0.570218,0.846025,0.081081,0.027961,0.213007,0.189189,0.0948,0.342047
commons-compress,32,17,6,9,0.53125,0.364495,0.691306,0.1875,0.088895,0.353092,0.28125,0.155646,0.453745
commons-configuration,42,23,7,12,0.547619,0.399491,0.687766,0.166667,0.083159,0.30604,0.285714,0.17167,0.435672
commons-dbcp,21,15,3,3,0.714286,0.500436,0.861861,0.142857,0.04981,0.346361,0.142857,0.04981,0.346361
commons-digester,26,16,0,10,0.615385,0.425349,0.775714,0,0,0.128729,0.384615,0.224286,0.574651
commons-imaging,14,10,2,2,0.714286,0.453509,0.882786,0.142857,0.040094,0.399414,0.142857,0.040094,0.399414
commons-io,21,15,3,3,0.714286,0.500436,0.861861,0.142857,0.04981,0.346361,0.142857,0.04981,0.346361
commons-jcs,16,10,1,5,0.625,0.38641,0.815188,0.0625,0.011119,0.283287,0.3125,0.141646,0.555956
commons-jexl,30,20,1,9,0.666667,0.487801,0.807695,0.033333,0.005909,0.166704,0.3,0.166647,0.478758
