project,category,observed,expected,pearson_residual
phoenix,corrective,83,42.45756,6.222034
pdfbox,other,16,54.131859,-5.182765
phoenix,perfective,23,63.34544,-5.069169
commons-math,perfective,66,37.926569,4.558518
commons-lang,perfective,50,26.629293,4.528893
tez,corrective,27,12.980655,3.891163
pdfbox,corrective,69,44.891433,3.598236
tika,other,31,16.956968,3.410254
helix,other,27,14.348204,3.340054
commons-collections,perfective,27,14.928543,3.124287
nifi,other,36,21.522306,3.120721
commons-math,corrective,10,25.42045,-3.058478
nifi,perfective,12,26.629293,-2.834938
commons-lang,corrective,6,17.848401,-2.80453
manifoldcf,perfective,10,23.4015,-2.77033
commons-digester,corrective,0,7.031188,-2.651639
tez,perfective,8,19.366759,-2.582903
commons-jexl,corrective,1,8.11291,-2.497232
commons-lang,other,10,21.522306,-2.483676
helix,perfective,8,17.752862,-2.314717
commons-math,other,18,30.652981,-2.28537
zeppelin,other,20,12.065535,2.284254
commons-jexl,perfective,20,12.104224,2.26948
ranger,corrective,20,12.169364,2.244725
commons-dbcp,perfective,15,8.472957,2.242327
commons-io,perfective,15,8.472957,2.242327
commons-collections,corrective,3,10.005922,-2.214811
tika,perfective,11,20.980655,-2.178961
commons-rdf,perfective,9,4.438216,2.165362
jena,perfective,88,70.204501,2.123869
flume,corrective,14,8.11291,2.066866
knox,perfective,3,9.279905,-2.06149
flume,perfective,5,12.104224,-2.041964
calcite,perfective,8,16.138966,-2.025962
kylin,perfective,40,54.872483,-2.007734
commons-codec,perfective,12,6.85906,1.962954
opennlp,perfective,22,14.525069,1.961318
ranger,perfective,10,18.156336,-1.914172
jena,corrective,34,47.054876,-1.903139
systemml,perfective,21,31.470983,-1.866519
manifoldcf,other,27,18.913541,1.859396
commons-imaging,perfective,10,5.648638,1.830852
kylin,other,56,44.348993,1.749531
commons-rdf,corrective,0,2.974734,-1.724742
pdfbox,perfective,81,66.976707,1.713516
commons-digester,perfective,16,10.490328,1.701105
commons-codec,corrective,1,4.597315,-1.677747
storm,corrective,9,15.414528,-1.633803
commons-jcs,corrective,1,4.326885,-1.599374
falcon,corrective,13,8.38334,1.594481
falcon,perfective,7,12.507698,-1.557333
streams,other,10,6.195815,1.528313
knox,corrective,10,6.219897,1.515696
commons-configuration,perfective,23,16.945914,1.470673
commons-dbcp,other,3,6.848006,-1.470462
commons-io,other,3,6.848006,-1.470462
commons-collections,other,7,12.065535,-1.458317
httpcomponents-client,other,10,15.652586,-1.428743
commons-validator,perfective,18,12.911173,1.416234
commons-jcs,perfective,10,6.455586,1.395008
cayenne,corrective,14,20.282274,-1.39495
streams,corrective,2,5.138176,-1.384436
commons-net,perfective,13,8.876431,1.384057
calcite,other,18,13.043822,1.372286
manifoldcf,corrective,21,15.684959,1.342038
systemml,other,32,25.435452,1.301623
commons-configuration,corrective,7,11.358073,-1.29313
commons-vfs,other,4,7.500197,-1.278075
zeppelin,corrective,6,10.005922,-1.266409
roller,other,21,15.978681,1.256167
storm,other,24,18.587446,1.25543
giraph,perfective,4,7.262535,-1.210629
commons-imaging,other,2,4.565338,-1.200627
opennlp,corrective,6,9.735492,-1.197206
commons-net,other,4,7.174102,-1.185051
